company,layoff_date,jobs_cut,pct_workforce_cut,sector,country,hq_city,ai_cited,reason_stated,company_revenue_2025_bn,pre_layoff_headcount,stock_change_day_pct,simultaneous_ai_investment_bn,roles_most_affected,replacement_roles,ceo_quote,layoffs_2024,layoffs_2025,verified_source,month,quarter,region,layoff_size_category,stock_reaction,laid_off_vs_headcount_pct,data_as_of,company_type
Ergo Insurance,2026-03-01,200,2.0,Insurance,Germany,Dusseldorf,True,AI automates insurance tasks,0.0,9000,0.0,0.2,"Claims processors, underwriters",AI system trainers,AI automates traditional insurance tasks,0,0,Intellizence,March 2026,Q1 2026,Europe,Small (<500),Neutral,2.22,"March 18, 2026",Private
Algoma Steel,2026-03-07,1000,20.0,Manufacturing,Canada,Sault Ste Marie,False,Blast furnace closure,2.8,5000,-1.5,0.0,Steel production workers,None announced,Closing blast furnace operations,0,0,Intellizence,March 2026,Q1 2026,North America,Medium (500-2K),Negative,20.0,"March 18, 2026",Public
Meta Platforms (Planned),2026-03-13,16000,20.0,Social Media/AI,USA,Menlo Park,True,Offset AI infrastructure costs,164.5,79000,3.0,115.0,"Engineering, middle management, ops","AI engineers, GPU infrastructure",Building personal superintelligence,0,0,CNBC / Reuters / IBTimes,March 2026,Q1 2026,North America,Mega (5K+),Positive,20.25,"March 18, 2026",Public
Algoma Steel,2026-03-23,1000,20.0,Manufacturing,Canada,Sault Ste Marie,False,Blast furnace closure effective,2.8,5000,-1.5,0.0,Steel workers,None announced,Effective layoff date per filing,0,0,Intellizence,March 2026,Q1 2026,North America,Medium (500-2K),Negative,20.0,"March 18, 2026",Public
eToro,2026-01-13,105,7,Fintech,Israel,Tel Aviv,No,,,,,,,,,,,https://www.calcalistech.com/ctechnews/article/sjedi1vh11x,January,Q1 2026,Europe,Small (<500),N/A,7,"May 2, 2026",Private
Meta,2026-01-13,1500,2,Social Media,USA,SF Bay Area,Yes,,,,-1.69,,,,,,,https://www.nytimes.com/2026/01/12/technology/meta-layoffs-reality-labs.html?unlocked_article_code=1.D1A.ckee.3ANQhKMxi5Ld&smid=url-share,January,Q1 2026,North America,Medium (500-2K),Negative,2,"May 2, 2026",Public
Playtika,2026-01-14,500,15,Social Media,Israel,Tel Aviv,No,,,,-1.09,,,,,,,https://www.calcalistech.com/ctechnews/article/bkl6xzhswe,January,Q1 2026,Europe,Medium (500-2K),Negative,15,"May 2, 2026",Public
Aleph Alpha,2026-01-14,50,16,AI Research,Germany,Frankfurt,Yes,,,,,,,,,,,https://www.startbase.com/news/aleph-alpha-baut-rund-50-stellen-ab/,January,Q1 2026,Europe,Small (<500),N/A,16,"May 2, 2026",Private
Tipalti,2026-01-15,100,,Fintech,USA,SF Bay Area,No,,,,,,,,,,,https://en.globes.co.il/en/article-tipalti-laying-off-dozens-of-employees-1001532153,January,Q1 2026,North America,Small (<500),N/A,,"May 2, 2026",Private
Polygon,2026-01-16,60,,Fintech,USA,Cayman Islands,Yes,,,,,,,,,,,https://www.coindesk.com/business/2026/01/16/polygon-labs-said-to-have-laid-off-60-staff-following-new-usd250-million-acquisition,January,Q1 2026,North America,Small (<500),N/A,,"May 2, 2026",Private
Moon Active,2026-01-27,110,5,Social Media,Israel,Tel Aviv,No,,,,,,,,,,,https://www.calcalistech.com/ctechnews/article/jvbqyjznm,January,Q1 2026,Europe,Small (<500),N/A,5,"May 2, 2026",Private
Kiwi.com,2026-01-29,250,36,E-Commerce,Czech Republic,Brno,No,,,,,,,,,,,https://forbes.cz/kiwi-pokracuje-v-propousteni-odchazi-tretina-zamestnancu/,January,Q1 2026,Europe,Small (<500),N/A,36,"May 2, 2026",Private
Zupee,2026-01-30,200,,Social Media,India,New Delhi,No,,,,,,,,,,,https://yourstory.com/2026/01/zupee-cuts-about-200-jobs-in-second-layoff-after-money-gaming-ban,January,Q1 2026,Asia-Pacific,Small (<500),N/A,,"May 2, 2026",Private
Huawei,2026-02-15,50,,Semiconductors,Israel,Tel Aviv,No,,,,,,,,,,,https://www.calcalistech.com/ctechnews/article/bkmmdojuwx,February,Q1 2026,Europe,Small (<500),N/A,,"May 2, 2026",Private
Axonius,2026-02-15,40,4,Cybersecurity,USA,New York City,Yes,,,,,,,,,,,https://www.calcalistech.com/ctechnews/article/s1xchi1oze,February,Q1 2026,North America,Small (<500),N/A,4,"May 2, 2026",Private
Cyberark,2026-02-17,500,12,Cybersecurity,USA,Boston,Yes,,,,,,,,,,,https://www.calcalistech.com/ctechnews/article/hy707511ube,February,Q1 2026,North America,Medium (500-2K),N/D,12,"May 2, 2026",Public
TrueCar,2026-02-24,100,30,Automotive Tech,USA,Los Angeles,No,,,,,,,,,,,https://aimgroup.com/2026/02/24/truecar-cuts-30-of-staff/,February,Q1 2026,North America,Small (<500),N/D,30,"May 2, 2026",Public
WiseTech,2026-02-24,2000,30,Logistics Software,Australia,Sydney,No,,,,-3.67,,,,,,,https://www.bloomberg.com/news/articles/2026-02-24/wisetech-to-cut-2-000-jobs-as-ai-ends-era-of-manual-coding,February,Q1 2026,Asia-Pacific,Large (2K-5K),Negative,30,"May 2, 2026",Public
C3.ai,2026-02-25,280,26,AI Research,USA,SF Bay Area,Yes,,,,1.88,,,,,,,https://www.morningstar.com/stocks/xnys/ai/earnings-transcript,February,Q1 2026,North America,Small (<500),Positive,26,"May 2, 2026",Public
Deliveroo,2026-02-25,187,,E-Commerce,UK,London,No,,,,,,,,,,,https://in.investing.com/news/company-news/doordash-closes-deliveroo-operations-in-qatar-and-singapore-93CH-5256077,February,Q1 2026,Europe,Small (<500),N/D,,"May 2, 2026",Public
Stone,2026-03-13,400,3,Fintech,Brazil,Sao Paulo,No,,,,-0.22,,,,,,,https://jovempan.com.br/noticias/economia/stone-faz-demissao-em-massa-e-desliga-cerca-de-400-funcionarios.html,March,Q1 2026,Latin America,Small (<500),Neutral,3,"May 2, 2026",Public
Spotify,2026-03-23,15,,Social Media,Sweden,Stockholm,No,,,,3.76,,,,,,,https://variety.com/2026/digital/news/spotify-podcast-layoffs-the-ringer-spotify-studios-1236697019/,March,Q1 2026,Europe,Small (<500),Positive,,"May 2, 2026",Public
Zendesk,2026-03-24,100,,Enterprise Software,USA,SF Bay Area,No,,,,,,,,,,,Internalmemo,March,Q1 2026,North America,Small (<500),N/A,,"May 2, 2026",Private
Epic Games,2026-03-24,1000,,Social Media,USA,Raleigh,No,,,,,,,,,,,https://www.epicgames.com/site/en-US/news/todays-layoffs,March,Q1 2026,North America,Medium (500-2K),N/A,,"May 2, 2026",Private
Enpal,2026-03-27,100,,EV Batteries,Germany,Berlin,No,,,,,,,,,,,https://www.businessinsider.de/gruenderszene/business/enpal-alle-zugaenge-kurz-nach-bekanntgabe-gesperrt-fast-100-mitarbeiter-entlassen/,March,Q1 2026,Europe,Small (<500),N/A,,"May 2, 2026",Private
Monzo,2026-03-31,50,,Fintech,UK,London,No,,,,,,,,,,,https://www.bloomberg.com/news/articles/2026-03-31/fintech-monzo-shutting-down-us-operations-to-focus-on-uk-europe,March,Q1 2026,Europe,Small (<500),N/A,,"May 2, 2026",Private
UKG,2026-04-15,950,,Enterprise SaaS,USA,Boston,No,,,,,,,,,,,https://www.sun-sentinel.com/2026/04/16/ukg-formerly-ultimate-software-lays-off-950-employees-many-from-south-florida-offices/,April,Q2 2026,North America,Medium (500-2K),N/A,,"May 2, 2026",Private
Snap,2026-04-15,1000,16,Social Media,USA,Los Angeles,No,,,,7.86,,,,,,,https://www.cnbc.com/2026/04/15/snap-stock-layoffs-16-percent-workforce.html,April,Q2 2026,North America,Medium (500-2K),Positive,16,"May 2, 2026",Public
Shutterfly,2026-04-16,80,,Manufacturing,USA,Haifa,No,,,,,,,,,,,https://www.calcalistech.com/ctechnews/article/rkx2avanzg,April,Q2 2026,North America,Small (<500),N/A,,"May 2, 2026",Private
